series_id,series_title,number_described,number_digitised
A12070,"Migrant Selection Documents for Displaced Persons who travelled to Australia per General Black departing Naples, Italy 17 March 1950",589,47
A12071,Migrant Selection Documents for Displaced Persons who travelled to Australia per Castelbianco departing Nordenham 2 February 1951,438,31
A12072,Migrant Selection Documents for Displaced Persons who travelled to Australia per Fairsea departing Bremerhaven 20 March 1951,698,32
A12073,Migrant Selection Documents for Displaced Persons who travelled to Australia per Skaubryn departing Bremerhaven 23 May 1951,400,20
A12074,Migrant Selection Documents for Displaced Persons who travelled to Australia per Goya departing Naples 7 November 1951,189,7
A12075,Migrant Selection Documents for Displaced Persons who travelled to Australia per Castelbianco departing Bremerhaven 27 November 1951,231,10
A12076,Migrant Selection Documents for Displaced Persons who travelled to Australia per Cyrenia departing Genoa 16 May 1952,36,1
A12077,Migrant Selection Documents for Displaced Persons who travelled to Australia per Nelly departing Bremerhaven 4 January 1952,328,14
A12078,Migrant Selection Documents for Displaced Persons who travelled to Australia per Nelly departing Bremerhaven 29 March 1952,305,14
A12079,Migrant Selection Documents for Displaced Persons who travelled to Australia per Castelverde departing Bremerhaven 8 June 1953,7,1
A12081,Migrant Selection Documents for Displaced Persons who travelled to Australia per Seven Seas departing Bremerhaven 9 May 1953,82,5
A12082,"Migrant Selection Documents for Displaced Persons who travelled to Australia per Roma (II) departing Genoa, Italy on 18 August 1951",3,0
A12083,"Migrant Selection Documents for Displaced Persons who travelled to Australia per Marine Jumper departing Guiuan, Samar, Phillipines 29 September 1949, arriving Sydney 9 October 1949",155,2
A12087,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight Aus/159 departing Bremen 17 October 1950,12,4
A12089,Migrant Selection Documents for Displaced Persons who travelled to Australia per  Nelly departing ex Bremerhaven 15 December 1949,761,56
A12090,Migrant Selection Documents for Displaced Persons who travelled to Australia per  Nelly departing ex Bremerhaven 14 May 1950,643,37
A12091,Migrant Selection Documents for Displaced Persons who travelled to Australia per  Skaugum departing Naples 2 March 1950,776,58
A12092,Migrant Selection Documents for Displaced Persons who travelled to Australia per General Muir  arriving Melbourne 25 October 1950,675,27
A12093,Migrant Selection Documents for Displaced Persons who travelled to Australia per Skaubryn departing Nordenham 24 February 1951,607,26
A12094,Migrant Selection Documents for Displaced Persons who travelled to Australia per Haven departing Guiuan Samar Phillipines 29 May 1949,129,2
A12111,Immigration Photographic Archive 1946 - Today.,20000,19620
A12154,Migrant Selection Documents for Displaced Persons who travelled to Australia per Anna Salen departing Nordenham 28 November 1950,597,26
A12155,Migrant Selection Documents for Displaced Persons who travelled to Australia per Amarapoora departing Naples 7 March 1950,191,28
A12156,Migrant Selection Documents for Displaced Persons who travelled to Australia per Amarapoora departing Geonoa 31 July 1950,311,16
A12157,Migrant Selection Documents for Displaced Persons who travelled to Australia per Protea departing Naples 2 November 1950,398,31
A12176,Migrant Selection Documents for Displaced Persons who travelled to Australia per Dundalk Bay departing Bremerhaven 6 September 1950,463,20
A12196,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight 'Flying Tiger' - Aus/161 - Syd 5 departing Bremen 21 October 1950,32,2
A12197,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight - Flying Tiger - AUS/160 - SYD 4 departing Bremen 17 October 1950,33,1
A12198,"Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight AUS/161A - Flight 2 departing Ciampino, Rome 21 October 1950",11,1
A12219,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight Aus/164 departing Bremen 30 October 1950,26,2
A12226,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight Aus/168 - Flight no. 4 departing Bremen 31 October 1950,13,1
A12256,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight 'Flying Tiger' Aus/169 - Syd 9 departing Bremen 1 November 1950,27,1
A12271,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight 'Flying Tiger' Aus/171 - Syd 11 departing Bremen November 1950,27,2
A12272,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight Aus/170  departing Bremen 2 November 1950,26,2
A12275,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight No. 6 - Aus/161 - LC79 departing Bremen 4 November 1950 and Rome 15 November 1950,9,1
A12288,Applications for permission to remain in Australia upon discharge from the British Armed Forces lodged both in Australia and abroad (Form 49) [and Royal Air Force release letters for British airmen and airwomen],5676,209
A12300,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight Aus/175 - Syd 12 departing Bremen 9 November 1950,27,2
A12347,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight Aus/177 - Syd 14 departing Bremen 16 November 1950,24,1
A12351,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight Aus/180 - Syd 16,19,1
A12356,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight Aus/182 departing Aurich via Bremen on 29 November 1950,9,3
A12357,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight Aus/185 departing Rome 16 December 1950,9,0
A12359,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight ANA/12 departing Bremen 22 January 1951,17,2
A12366,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight ANA/9 departing Rome 27 January 1951,9,0
A12367,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight ANA/13 departing Bremen on 8 February 1951,21,0
A12368,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight ANA/10 departing Rome 10 February 1951,8,3
A12369,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight ANA/11 departing Rome 24 February 1951,12,1
A12508,Personal Statement and Declaration by alien passengers entering Australia (Forms A42),6930,338
A12512,Migrant applications for permission to enter Australia - Form M47,4864,1
A12522,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight Aus/178 - Syd/15 departing Bremen November 1950,23,4
A12529,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight departing Naples 19 December 1949,13,2
A12531,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight Aus/176 - Syd/13 departing Bremen November 1950,21,2
A12532,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight No. 3 departing Naples 17 February 1950,17,4
A12534,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight ANA/15 departing Bremen-Grohn 21 March 1951 and Rome 24 March 1951,7,1
A12535,"Migrant Selection Documents for Displaced Persons who travelled to Australia per Aircraft VH-IN2, Air Ceylon, departing Bremen 11 May 1951",2,0
A12536,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight ANA/15A departing Rome 7 April 1951,8,1
A12537,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight ANA/19 departing Bremen 13 June 1951 and Rome 16 June 1951,10,1
A12538,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight No 1 departing Bremen 20 August 1950,14,1
A12543,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight departing Athens and Naples 20 March 1950,4,1
A12544,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight departing Athens and Naples 6 April 1950,2,1
A12548,Professional British Migrant selection documents - Form ES35A,1400,5
A12549,"Migrant Selection Documents for Displaced Persons who travelled to Australia per Qantas Flight departing  Guiuan, Samar, Phillipines circa 3 December 1949",31,1
A12550,"Migrant Selection Documents for Displaced Persons who travelled to Australia per Qantas flight departing Guiuan, Samar, Phillipines circa 6 December 1949 and arrived in Sydney 6 December 1949",14,0
A12553,"Migrant Selection Documents for Displaced Persons who travelled to Australia per General Greely departing Guiuan, Samar, Phillipines 30 October 1949",235,4
A12560,Migrant Selection Documents for Displaced Persons who travelled to Australia per Orion arriving in Sydney 17 February 1950,1,0
A12564,Migrant Selection Documents for Displaced Persons who travelled to Australia per Asturias arriving in Western Australia 22 November 1948,1,0
A12569,Professional Non-British Migrant selection documents - Form ES35A,117,2
A12578,Migrant Selection Documents for Displaced Persons who travelled to Australia per El Sudan (also known as Al Sudan and El Soudan) Departing Marseilles 17 January 1948 arriving at Fremantle 26 February 1948,20,1
A12674,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight departing Munich Germany 19 September 1951 arriving Sydney 26 September 1951,1,0
A12675,Migrant Selection Documents for Displaced Persons who travelled to Australia per Airflight departing Rome 30 June 1951 arriving Australia 6 July 1951,1,0
A12685,Remaining European Displaced Persons Records,839,18
A12701,Remaining Shanghai Displaced Persons Records,530,13
A12771,Microfiche Index to Passenger Cards,1,0
A12793,Migrant accomodation centres - Accommodation returns all centres,281,3
A12795,Migrant accommodation centres - records relating to the supply of goods to migrant accommodation centres.,158,0
A12796,"[Migrant accommodation centres, correspondence with] Liaison Office, Directorate of Supply, Melbourne.",25,1
A12797,Migrant accommodation centres:  Staffing records,75,0
A12798,Migrant accommodation centres. Replies to Treasury queries,9,1
A12799,"General papers, plans and historical outlines of the migrant accommodation division",15,11
A12866,Monthly charges from Migrant Accomodation Hostels for accomodating migrants seeking employment,56,0
A12872,Migrant accommodation centre blueprints,147,8
A12900,Kapooka migrant accommodation centre salary and history cards,5,0
A12905,Rushworth staff cards,9,0
A13051,Migrant Selection Documents for Displaced Persons who travelled to Australia per Cyrenia departing Genoa 4 October 1950,1,0
A13210,[Copies of Immigration Nominal Rolls for voyages and flights],3027,5
A13243,Ships Passenger Manifests - Direct Transit (Form M309),10,0
A13283,Nominal rolls of British assisted migrants travelling by ship and aircraft,134,0
A13342,Migrant Selection Documents - Multiple Schemes,0,0
A13575,"General Assisted Passage Scheme (GAPS), Netherlands/Australia Migration Agreement (NAMA) and Intergovernmental Committee for European Migration Selection Documents",202,0
A13696,Collection of migrant selection documents culled from Immigration case files,1878,18
A13770,Miscellaneous migrant selection documents and photographs,126,0
A14385,Original letters sent from Turkish citizens to the Department of Immigration in Canberra,70,0
A14386,Letters sent to Turkish citizens by the Department of Immigration in Canberra,155,0
A14389,Miscellaneous documents and photographs relating to migration and passenger lists,169,0
A14405,Migrant applications for permission to enter Australia - Form 47 - miscellaneous,55,0
AA1968/119,Library Material - Ministerial Press Statement and other printed matter,25,2
AA1969/48,Unregistered Library Material,1,0
AA1969/52,Library Material - Ministerial Press Statements Etc.,0,0
AA1969/331,"Overtime, leave, pay and other personnel records",0,0
AA1969/337,Applications for Permission to enter Australia (Forms 47) - CANCELLED - converted to A12566 and A12567,0,0
AA1969/338,Applications for Permission to Enter Australia (Turkish Applications) (Forms M47) - CANCELLED - converted to A12512,0,0
AA1969/339,Migration Selection Documents - Multiple Schemes including Displaced Persons - CONVERTED,3,0
AA1969/340,Applications for Admission of Relative or Friend to Australia (Forms 40),0,0
AA1969/341,Applications for Permission to Remain in Australian (Forms 49) upon Discharge from British Armed Services CANCELLED - Converted to A12288,0,0
AA1969/342,Application from an Ex-Service Man or Woman or the Widow of an ex-Serviceman for an Assisted Passage to Australia (XSI),962,3
AA1969/343,"British Migrants - Selection Document, Professions (Forms ES35A), 1963-1965 - CANCELLED - converted to A12548 and A12569",0,0
AA1969/346,"Germany, Application for Assisted Passage 1956 (E. Tonajka)",0,0
AA1969/347,"Malta, Application for Assisted Passage 1965, (arr. ?1969) (S. Aquilina)",0,0
AA1969/348,Library material,0,0
AA1969/349,Press cuttings,0,0
AA1969/354,Lists of Applications for Naturalization approved,0,0
AA1969/403,Estimates Papers,0,0
AA1969/404,Papers relating to Sundry Debtors,0,0
AA1969/405,"Miscellaneous Accounting Records, 1946-1968",0,0
AA1969/406,Publicity Section - accounting records,0,0
AA1969/411,Files of migrants Statistics (with Nominal Rolls etc),0,0
AA1969/412,Naturalisation Coding Sheets,0,0
AA1969/414,Stock copies of Immigration Statistical Bulletins,0,0
AA1969/415,Passport Applications etc,0,0
AA1969/419,Book Butts of Re-entry Permits,0,0
AA1969/420,Visa Advice Books,0,0
AA1969/421,Papers of Ray George Mair,9,7
AA1969/422,"Duplicated Alphabetical Lists of Migrants, showing last known address or State of Disembarkation etc. (Purpose Unknown)",1,0
AA1969/423,Papers relating to Child Migrant Survey,0,0
AA1969/424,Papers relating to Survey of Conduct of Child Migrants,0,0
AA1969/425,Papers relating to Migrant Education Survey - Queensland State School,0,0
AA1969/426,Papers relating to NSW Police Crime Survey,0,0
AA1969/427,Papers relating to non-European private students survey,1,0
AA1969/428,Field survey material,0,0
AA1969/429,Field survey material (naturalisation),0,0
AA1969/430,Papers of Mr Hawkins' project on accommodation,2,0
AA1969/431,Survey of Single Greek Women,1,0
AA1969/432,Professions questionnaires,0,0
AA1969/433,Index book of miscellaneous approvals,0,0
AA1969/434,Papers and Registers relating to Distressed Australians Abroad,0,0
AA1969/435,Papers relating to ICEM,0,0
AA1969/436,Index Book of Malayan Wives and Asian Fiancees of Australian Servicemen,1,0
AA1969/441,Papers relating to and records from Migrant Accommodation Centres,105,32
AA1971/501,Records of the Benalla Migrant Reception and Training Centre,0,0
B6522,"Citizenship (naturalisation) index cards on microfilm cassettes (3-M), lexicographical series",2,0
CP181/1,Forms A42 Personal Statement and Declaration by alien passengers - CANCELLED - Converted to A12508 and A12682,0,0
CP186/1,In and Out Aircraft Passenger Cards Darwin,0,0
CP508/31,Registers of Declaration of Acquisition of British Nationality (New Guinea),0,0
CP533/1,Selection Documents (Displaced Persons Migration Scheme) - CONVERTED,0,0
CP899/4,Selection documents - displaced persons - CONVERTED,5,0
CP899/5,British Armed Forces applications for discharge in Australia Forms 49 CANCELLED - Converted to A12288,0,0
CP900/2,Personal Documents of Displaced Persons - CONVERTED,0,0
CP900/4,Personal documents of Displaced Persons - CONVERTED,0,0
CP900/6,Selection Documents (Forms XS 1 and 2) of Empire and Allied Ex-Servicemen,5777,17
CP908/1,Aircraft Passenger Manifests Incoming,0,0
CT118/2,"Files relating to applications for admissions, deserters, deportees and pearling indents",7,1
CT118/3,"Files relating to applications for admissions, deserters, deportees and pearling indents",13,1
CT118/4,Files relating to applications for passports and certificates of identity,0,0
M657,"Cabinet submissions and related reference material created during Mr Phillip Lynch's term as Minister for Labour and National Service, arranged by subject.",0,0
M658,Index list of reference material and cabinet submissions of the period of Phillip Lynch's term as Minister for Labour and National Service.,0,0
M664,"Economic statistics published by the Australian Bureau of Statistics, arranged by subject.",0,0
M669,Reference material relating to Bills,0,0
M685,"Reference material and correspondence, arranged alphabetically by subject.",0,0
M687,Miscellaneous reference material/working papers,0,0
M2607,Folders of speeches and articles maintained by  Harold Edward Holt,129,4
M2608,Folders of overseas travel diaries and correspondence maintained by Harold Edward Holt,27,2
MP1760/1,"Commonwealth hostels and transitory flats files, annual single number series with 'M' prefix",4,0
NTAC1979/305,"Correspondence files, Minute books, Reports and Incorporation Certificate of The Good Neighbour Council of the Northern Territory Incorporated",0,0
